episode,avg_score,avg_max_tile,loss,actor_loss,critic_loss,entropy,elapsed_s
18100,5129.0,354.6,0.03858,-0.02815,0.13533,0.09304,2864.1
18150,5736.6,401.3,0.10074,0.05109,0.10143,0.10679,2883.2
18200,6171.2,439.0,0.12388,0.06795,0.1148,0.14647,2901.5
18250,5238.4,371.8,0.11206,0.02324,0.17895,0.0647,2916.0
18300,4122.4,302.7,0.05901,-0.00987,0.13981,0.1022,2928.7
18350,4071.3,308.5,0.11347,0.01895,0.1911,0.1039,2942.7
18400,4359.4,331.5,0.16786,0.09666,0.1458,0.16919,2956.7
18450,4356.1,329.6,0.44635,0.04262,0.80899,0.07707,2970.7
18500,4301.4,328.3,0.22673,0.03652,0.38236,0.09735,2984.6
18550,4042.1,313.0,0.10155,0.06605,0.07432,0.16564,2997.4
18600,3989.1,304.0,0.41671,0.01223,0.81209,0.1572,3011.0
18650,4673.8,334.7,0.09758,0.06682,0.06478,0.16351,3027.5
18700,4756.1,341.8,0.27477,0.01568,0.52477,0.32929,3041.4
18750,4567.6,340.2,0.15841,0.00111,0.31677,0.10829,3056.7
18800,4977.0,362.6,0.1409,0.02541,0.23315,0.10921,3072.5
18850,5131.5,373.8,0.07904,0.0037,0.15306,0.11843,3088.5
18900,5459.2,389.8,0.08742,0.03558,0.10642,0.13704,3106.1
18950,6067.4,421.1,0.08407,-0.00162,0.17349,0.10499,3125.2
19000,6207.8,422.4,0.14434,0.05777,0.1759,0.13796,3143.9
19050,6465.3,435.8,0.22843,0.06236,0.33567,0.17691,3164.4
19100,6746.0,459.5,0.55492,-0.0746,1.26409,0.25241,3184.1
19150,6492.4,452.5,0.1648,0.04883,0.23448,0.12681,3203.1
19200,6531.8,461.4,0.18275,0.02953,0.30862,0.10902,3223.0
19250,6314.2,439.4,0.39968,0.05166,0.69885,0.14006,3241.3
19300,6094.0,429.1,0.49011,0.01838,0.9458,0.11747,3260.1
19350,6012.7,431.4,0.42883,-0.00779,0.8778,0.22785,3277.8
19400,5920.7,422.4,0.52668,0.12947,0.79987,0.27292,3296.0
19450,6127.6,432.6,0.17934,-0.03476,0.43209,0.19516,3314.5
19500,6339.5,449.9,0.19623,0.06075,0.27576,0.2402,3333.5
19550,6679.4,473.0,0.38673,0.04702,0.68244,0.15196,3353.7
19600,6845.3,466.6,0.1517,0.07121,0.16511,0.20634,3374.2
19650,6764.0,455.0,0.33662,0.01915,0.6376,0.13273,3394.1
19700,6708.2,473.6,0.20284,0.01115,0.38585,0.12368,3413.8
19750,6478.4,463.4,0.31134,0.0245,0.57623,0.12702,3432.4
19800,6343.5,439.0,0.15623,0.03295,0.24842,0.09318,3451.6
19850,6339.6,437.8,0.23195,0.10686,0.25435,0.20818,3470.5
19900,6059.3,427.5,0.38153,0.07859,0.61104,0.25849,3488.4
19950,5961.8,413.4,0.2033,0.0341,0.34216,0.18796,3506.9
20000,6053.8,417.9,0.20381,0.03861,0.33301,0.13053,3525.1
20050,5838.8,407.7,0.1682,0.09957,0.14094,0.18409,3542.5
20100,5572.1,385.9,0.432,0.08055,0.70625,0.16719,3559.5
20150,6255.1,431.4,0.17731,0.00037,0.35685,0.14935,3579.9
20200,6316.5,448.0,0.16125,0.00585,0.31226,0.07272,3596.9
20250,5659.7,408.3,0.12586,0.02445,0.20449,0.08401,3614.4
20300,5930.1,412.2,0.03338,-0.023,0.11447,0.0854,3633.2
20350,5821.6,407.7,0.12611,0.02805,0.19759,0.07367,3650.0
20400,5847.2,417.3,0.23556,0.01658,0.43939,0.07094,3668.9
20450,6325.4,444.2,0.07445,0.03254,0.08589,0.10389,3688.1
20500,5928.4,416.0,0.09063,-0.0503,0.28451,0.13153,3705.2
20550,5373.6,375.0,0.1034,-0.04081,0.29148,0.15326,3722.0
20600,5636.7,399.4,0.4956,0.02891,0.93689,0.17546,3740.1
20650,5482.8,398.7,0.03411,0.00089,0.06879,0.11742,3756.0
20700,5016.9,364.8,0.27195,0.02301,0.49987,0.09961,3771.8
20750,5443.2,389.8,0.05158,0.03053,0.04356,0.07318,3789.9
20800,5996.3,425.0,0.07725,-0.00189,0.16026,0.09872,3808.3
20850,6069.5,437.8,0.12935,-0.00665,0.27429,0.11504,3826.2
20900,5912.2,423.7,0.04214,-0.0171,0.11993,0.07288,3844.2
20950,5658.8,403.2,0.0163,0.00029,0.03377,0.08797,3861.3
21000,5679.5,399.4,0.04662,0.01471,0.06547,0.08291,3879.4
21050,5888.1,408.3,0.1254,-0.0078,0.26814,0.08769,3897.5
21100,6119.6,425.0,0.05346,0.02636,0.05549,0.06451,3916.7
21150,6432.6,444.2,0.0945,0.02107,0.14898,0.1053,3936.3
21200,5874.4,414.7,0.12702,0.00519,0.24527,0.07967,3952.5
21250,5664.3,403.2,0.20234,-0.02159,0.44908,0.06171,3971.0
21300,6071.4,417.9,0.16198,-0.04263,0.41143,0.11022,3989.5
21350,5975.9,410.6,0.17671,-0.0014,0.35716,0.04758,4007.6
21400,6213.6,421.4,0.27919,0.00934,0.54138,0.08348,4027.5
